id,problem,city,district,street,latitude,longitude,report_date
293,damaged road,Alexandria,Smouha,Fawzy Moaz St,31.2001,29.9187,2026-04-21
146,small trash,Mansoura,East Mansoura,Abdel Salam Aref St,31.0364,31.3807,2026-06-06
212,damaged road,Alexandria,Sidi Gaber,Port Said St,31.2001,29.9187,2026-02-15
119,small trash,Cairo,Maadi,Laselky St,30.0444,31.2357,2026-03-30
303,damaged road,Alexandria,Smouha,Fawzy Moaz St,31.2001,29.9187,2026-02-20
376,damaged road,Alexandria,Sidi Gaber,El Horreya Rd,31.2001,29.9187,2026-05-10
356,damaged road,Tanta,Second District,El Nadi St,30.7865,31.0004,2026-06-14
159,small trash,Mansoura,West Mansoura,Toranil St,31.0364,31.3807,2026-03-18
336,damaged road,Mansoura,East Mansoura,Suez Canal St,31.0364,31.3807,2026-06-26
582,big trash,Alexandria,Miami,Gamal Abdel Nasser Rd,31.2001,29.9187,2026-05-10
322,damaged road,Cairo,Heliopolis,El Merghany St,30.0444,31.2357,2026-02-01
515,big trash,Alexandria,Smouha,Fawzy Moaz St,31.2001,29.9187,2026-06-16
214,damaged road,Giza,Mohandessin,Gameat El Dowal St,30.0131,31.2089,2026-01-14
177,small trash,Alexandria,Smouha,Victor Emmanuel St,31.2001,29.9187,2026-06-05
266,damaged road,Alexandria,Smouha,Fawzy Moaz St,31.2001,29.9187,2026-05-01
221,damaged road,Cairo,Nasr City,Makram Ebeid St,30.0444,31.2357,2026-05-25
91,small trash,Cairo,Maadi,Palestine St,30.0444,31.2357,2026-03-18
55,small trash,Cairo,Maadi,Palestine St,30.0444,31.2357,2026-01-16
389,damaged road,Alexandria,Miami,45 St,31.2001,29.9187,2026-01-22
182,small trash,Giza,Dokki,Syria St,30.0131,31.2089,2026-03-19
149,small trash,Alexandria,Sidi Gaber,El Horreya Rd,31.2001,29.9187,2026-03-12
651,big trash,Cairo,Maadi,Laselky St,30.0444,31.2357,2026-01-15
378,damaged road,Giza,Dokki,Mossadak St,30.0131,31.2089,2026-05-23
292,damaged road,Cairo,Nasr City,Abbas El Akkad St,30.0444,31.2357,2026-01-15
312,damaged road,Giza,6th of October,Al Hosary St,30.0131,31.2089,2026-06-10
645,big trash,Cairo,Maadi,Laselky St,30.0444,31.2357,2026-05-16
